Gaia Username,Type (Character/Pokemon),Name,Belongs To Character,Nickname,Gender,Level,Shiny (Y/N),Shadow (Y/N),Age,Pronouns,Birthday,Height,Character Species,Hometown,Short Description,History
DignityPower,Character,Veronica Nova,,,Female,,,,21,,February 23rd,"5'2""",Sableye hybrid (human turned Sableye hybrid),Pallet Town,"A 21-year-old Snagem member from Pallet Town who was transformed into a Sableye hybrid by a curse, with purple-scaled skin, gems on her body, and crystallized pink eyes.","Veronica grew up in Pallet Town with her mother and brother; her brother left for the military when she was 8, and her mother died when she was 11. After a failed romantic relationship at 15 she left town seeking purpose and joined Snagem, where she received her first Pokemon, a Chimchar named Chi. During missions she encountered her estranged father and her imprisoned brother. On a Halloween mission in Lavender Town at age 20, a Sableye curse transformed her into a hybrid; after months of depression and summoning Uxie, the Sableye killed her and took the place of her heart in order to exist physically."
DignityPower,Pokemon,Zoroark,Veronica Nova,Cosmo,M,50,Y,N,,,,,,,,
DignityPower,Pokemon,Swampert,Veronica Nova,Pisces,M,25,N,N,,,,,,,,
DignityPower,Pokemon,Flygon,Veronica Nova,BlackCrystal,M,60,N,N,,,,,,,,
DignityPower,Pokemon,Umbreon,Veronica Nova,Vanta,M,25,Y,N,,,,,,,,
DignityPower,Pokemon,Infernape,Veronica Nova,Chi,M,60,N,N,,,,,,,,
DignityPower,Pokemon,Drifloon,Veronica Nova,Jack,M,100,N,N,,,,,,,,
DignityPower,Pokemon,Solosis,Veronica Nova,Azulo,M,100,N,N,,,,,,,,
DignityPower,Pokemon,Ekans,Veronica Nova,Riddle,F,100,N,N,,,,,,,,
DignityPower,Pokemon,Joltik,Veronica Nova,Gravity,F,100,N,N,,,,,,,,
DignityPower,Pokemon,Ditto,Veronica Nova,Mushy,,100,N,N,,,,,,,,
DignityPower,Pokemon,Gothorita,Veronica Nova,Parallel,M,100,N,N,,,,,,,,
DignityPower,Pokemon,Froslass,Veronica Nova,Heartless,F,100,N,N,,,,,,,,
DignityPower,Pokemon,Lucario,Veronica Nova,Havoc,F,100,N,N,,,,,,,,
DignityPower,Pokemon,Jellicent,Veronica Nova,Spirit,M,100,N,N,,,,,,,,
DignityPower,Pokemon,Luxray,Veronica Nova,Moon,F,100,N,N,,,,,,,,
DignityPower,Pokemon,Crobat,Veronica Nova,Timeless,F,100,N,N,,,,,,,,
DignityPower,Pokemon,Absol,Veronica Nova,Cherry,F,100,N,N,,,,,,,,
DragonFang099,Character,"Brian ""Flint"" Adams",,,Male,,,,19,,,,Human (Fighting-type channeler),"Littleroot Town, Hoenn","A 19-year-old breeder's son from Littleroot Town with an uncanny gift for calming fearful Pokemon, who joined Team Snagem to fight Shadow Pokemon.","Brian was born and raised in Littleroot Town by his parents Allison, a former Coordinator, and Ben, a former League challenger, who became renowned breeders; he learned breeding from his father and was partly raised by his mother's Lucario, Abby. At age five he showed an unusual ability to calm fearful Pokemon, notably a timid Poochyena. At fifteen he found an injured Lucario in the forest, and months later the now-evolved Mightyena led him to an abandoned egg, which hatched into the Riolu he raised as Lu, forming an exceptionally strong bond. After learning of Shadow Pokemon and Team Snagem's opposition to them, he joined the organization at nineteen, unaware his friend Amber Jacobs had also enlisted."
DragonFang099,Pokemon,Lucario,"Brian ""Flint"" Adams",Lu,,21,N,N,,,,,,,,
DragonFang099,Pokemon,Magmortar,"Brian ""Flint"" Adams",Firebrand,,51,N,N,,,,,,,,
DragonFang099,Pokemon,Boltund,"Brian ""Flint"" Adams",Sparx,,46,N,N,,,,,,,,
DragonFang099,Pokemon,Kirlia,"Brian ""Flint"" Adams",Grace,,41,Y,N,,,,,,,,
DragonFang099,Pokemon,Dunsparce,"Brian ""Flint"" Adams",Randy,,21,N,N,,,,,,,,
DragonFang099,Pokemon,Pawmi,"Brian ""Flint"" Adams",Thunderfist,,21,N,N,,,,,,,,
DragonFang099,Pokemon,Bagon,"Brian ""Flint"" Adams",Aisha,,21,N,N,,,,,,,,
DragonFang099,Pokemon,Jangmo-o,"Brian ""Flint"" Adams",Daar,,21,N,N,,,,,,,,
DragonFang099,Pokemon,Gallade,"Brian ""Flint"" Adams",Chase,,41,N,N,,,,,,,,
DragonFang099,Pokemon,Rapidash,"Brian ""Flint"" Adams",Ace,,61,N,N,,,,,,,,
DragonFang099,Pokemon,Dracozolt,"Brian ""Flint"" Adams",Volt,,21,N,N,,,,,,,,
DragonFang099,Character,Amber Jacobs,,,Female,,,,23,,,,Human-turned-Froslass hybrid,"Littleroot Town, Hoenn",A 23-year-old Snagem member from Littleroot Town who survived an abusive childhood and was transformed into a Froslass hybrid after nearly freezing to death in a Snowpoint blizzard.,"Amber was raised by her father James after her mother died when she was thirteen; he was an abusive alcoholic, and she survived by learning his patterns and hiding in her mother's closet. At age ten she fled home to begin her Pokemon journey, rescuing an abandoned injured Eevee, Rainer, who recovered at the Professor's lab and chose to join her. At 21 she captured an abused Shuppet named Spooky, who initially attacked her and left scars before she earned his trust. At twenty-two she joined Team Snagem after hearing about Shadow Pokemon. On a recent mission in Snowpoint City, Sinnoh, she was lost in a blizzard and dying of cold when a Froslass saved her life by sharing energy, transforming her into a hybrid; the Froslass joined her team."
DragonFang099,Pokemon,Banette,Amber Jacobs,Spooky,,58,N,N,,,,,,,,
DragonFang099,Pokemon,Greninja,Amber Jacobs,Bubbles,,57,N,N,,,,,,,,
DragonFang099,Pokemon,Misdreavus,Amber Jacobs,Arauth,,21,N,N,,,,,,,,
DragonFang099,Pokemon,Omanyte,Amber Jacobs,Gary,,21,N,N,,,,,,,,
DragonFang099,Pokemon,Froslass,Amber Jacobs,Turace,,63,N,N,,,,,,,,
DragonFang099,Pokemon,Delcatty,Amber Jacobs,Sander,,21,N,Y,,,,,,,,
DragonFang099,Pokemon,Abomasnow,Amber Jacobs,Frost,,61,Y,N,,,,,,,,
DragonFang099,Pokemon,Nymble,Amber Jacobs,Loki,,21,N,N,,,,,,,,
DragonFang099,Pokemon,Phantump,Amber Jacobs,Lily,,21,N,N,,,,,,,,
DragonFang099,Pokemon,Sableye,Amber Jacobs,Gembreaker,,21,N,N,,,,,,,,
DragonFang099,Pokemon,Frigibax,Amber Jacobs,Arctic,,21,N,N,,,,,,,,
DragonFang099,Character,"Evelyn ""Rachel"" Sanchez",,,Female,,,,22,,,,Human,"Celestic Town, Sinnoh","A 22-year-old survivor from Celestic Town who overcame an abusive home and a tragic accident, later proving herself to Team Snagem during a Titan expedition in Paldea.","Evelyn was raised by her angry, alcoholic father after her mother died, developing hypervigilance and hiding in her mother's closet for safety. At age ten she fled toward the Professor's lab with her father in pursuit, escaping into the forest where she found a severely injured non-native Eevee; it recovered at the lab and the Eevee, Rainer, chose to join her journey. At sixteen her close friend Cindy died in a car crash while they were traveling to Snowpoint City, and Evelyn's broken leg left her with a slight limp; she withdrew from society until age twenty. She then joined the Academy in Paldea, took part in a Titan expedition alongside Snagem members, and rescued Brian Adams during the mission, impressing him enough to recommend her to Team Snagem's leadership."
DragonFang099,Pokemon,Eevee,"Evelyn ""Rachel"" Sanchez",Rainer,,21,N,N,,,,,,,,
DragonFang099,Pokemon,Skiddo,"Evelyn ""Rachel"" Sanchez",Clint,,21,N,N,,,,,,,,
DragonFang099,Pokemon,Rockruff,"Evelyn ""Rachel"" Sanchez",Layla,,21,N,N,,,,,,,,
DragonFang099,Pokemon,Turtonator,"Evelyn ""Rachel"" Sanchez",Drevab,,21,Y,N,,,,,,,,
DragonFang099,Pokemon,Treecko,"Evelyn ""Rachel"" Sanchez",Grunt,,21,N,N,,,,,,,,
DragonFang099,Pokemon,Gible,"Evelyn ""Rachel"" Sanchez",Sonic,,21,N,N,,,,,,,,
DragonYolk,Character,Daniel Nakamura,,,Male,,,,18,,,"5'11""",Human,"Ecruteak City, Johto (born in Blackthorn City)","An 18-year-old sword-trained former vigilante from Ecruteak City (nicknamed Dan or ""Danny boy"") who joined Team Snagem and searches for his absent father.","Daniel was born in Blackthorn City to a Dragon-specialist father and a mother who was a retired Kimono Girl. When he was 10 his father abandoned the family, and he and his mother moved to Ecruteak City to live with his grandfather Kin, a Bell Tower monk, while his mother worked as a Dance Hall waitress. Largely unsupervised, he grew angry and rebellious by 12, fighting local gangs to protect his mother, until his other grandfather, Gin, taught him swordsmanship to channel his rage. He secretly acted as a town vigilante and saved a young girl named Alex from thieves. Around age 16 he joined Team Snagem for income, initially thinking it a simple gang; the experience reconnected him with Dragon-type Pokemon and strengthened his bond with Alex, who later joined the organization too."
DragonYolk,Pokemon,Jangmo-o,Daniel Nakamura,,M,100,N,N,,,,,,,,
DragonYolk,Pokemon,Axew,Daniel Nakamura,,M,100,N,N,,,,,,,,
DragonYolk,Pokemon,Garchomp,Daniel Nakamura,Shark,M,100,N,N,,,,,,,,
DragonYolk,Pokemon,Shelgon,Daniel Nakamura,,M,100,N,N,,,,,,,,
DragonYolk,Pokemon,Dragonair,Daniel Nakamura,Melusine,F,100,N,N,,,,,,,,
DragonYolk,Pokemon,Dewott,Daniel Nakamura,Rain,M,100,N,Y,,,,,,,,
DragonYolk,Pokemon,Pignite,Daniel Nakamura,Nova,M,100,N,N,,,,,,,,
DragonYolk,Pokemon,Gardevoir,Daniel Nakamura,Diva,F,100,N,N,,,,,,,,
DragonYolk,Pokemon,Pikachu,Daniel Nakamura,Electra,F,100,N,N,,,,,,,,
DragonYolk,Pokemon,Rhyperior,Daniel Nakamura,Goliath,M,100,N,N,,,,,,,,
DragonYolk,Pokemon,Braviary,Daniel Nakamura,Talon,M,100,N,N,,,,,,,,
DragonYolk,Pokemon,Bibarel,Daniel Nakamura,Bucky,M,100,N,N,,,,,,,,
DragonYolk,Pokemon,Deino,Daniel Nakamura,Naga,F,100,N,N,,,,,,,,
DragonYolk,Character,Alexandra Suzuki,,,Female,,,,11,,,"4'9""",Human,"Ecruteak City, Johto",An 11-year-old girl from Ecruteak City (nicknamed Alex) who was saved from thieves by Daniel Nakamura and later joined Team Snagem.,(Backstory section left empty/incomplete in the profile.)
DragonYolk,Pokemon,Porygon,Alexandra Suzuki,,,100,N,N,,,,,,,,
DragonYolk,Pokemon,Ditto,Alexandra Suzuki,,,100,N,N,,,,,,,,
DragonYolk,Pokemon,Magnemite,Alexandra Suzuki,Polaris,,100,N,N,,,,,,,,
DragonYolk,Pokemon,Lillipup,Alexandra Suzuki,,M,100,N,N,,,,,,,,
DragonYolk,Pokemon,Skarmory,Alexandra Suzuki,,F,100,N,N,,,,,,,,
DragonYolk,Character,Connor Knight,,,Male,,,,16,,,"5'8""",Human,Veilstone City,A 16-year-old boy from Veilstone City.,(Backstory section left empty/incomplete in the profile.)
DragonYolk,Pokemon,Chimchar,Connor Knight,Sun,M,100,N,N,,,,,,,,
DragonYolk,Pokemon,Blaziken,Connor Knight,,M,100,N,N,,,,,,,,
DragonYolk,Pokemon,Meditite,Connor Knight,Asura,F,100,N,N,,,,,,,,
DragonYolk,Pokemon,Scrafty,Connor Knight,Ares,M,100,N,N,,,,,,,,
DragonYolk,Pokemon,Poliwhirl,Connor Knight,,M,100,N,N,,,,,,,,
DragonYolk,Pokemon,Breloom,Connor Knight,Shala,F,100,N,N,,,,,,,,
DragonYolk,Character,Unnamed (WIP),,,,,,,,,,,,,Incomplete placeholder profile with blank fields.,
emensmansera,Character,Arwan,,,Male,,,,23,,,About six foot five,Human,Lilycobe [as written in profile; likely Lilycove],"A tall, bearded 23-year-old from Lilycove who nursed an injured Lunatone back to health and now seeks adventure with it.","During a meteor shower, a badly injured Lunatone fell into Arwan's yard; he rushed to the local Poke Mart for potions and treated its wounds. Recognizing that its distinctive blue eyes would make it a target for hunters after its value, he chose to shelter it. Over time he bonded deeply with the Lunatone, whom he calls Branwen, and now seeks adventure with it. He has brown medium-length hair parted to the left, hazel eyes, a nicely trimmed beard, and defined, muscular arms."
emensmansera,Pokemon,Lunatone,Arwan,,,55,N,N,,,,,,,,
Espeon_Commander,Character,Crystal Lynn Hikari Tanzanaki,,,Female,,,,Approximately 400+ years (exact age uncertain due to time distortion in Ultra Space),She/her (also answers to they/them),,"6'6""",Solgaleo hybrid,"Alto Mare, Johto (also considers Alola home)","A centuries-old Solgaleo hybrid traveler of Ultra Space who drifts between realities, observing each world before making herself known.","Originally from Alto Mare in Johto, Crystal eventually settled in Alola, where she spent her entire time as a Cosmog hybrid and her first six months as a Solgaleo hybrid. She has traveled through many different realities across Ultra Space in brief intervals and has not visibly aged despite existing for roughly four centuries. Cheerful but reserved, she typically observes a new world for several days before introducing herself, though she intervenes immediately if a major safety threat arises, and she seeks to leave memorable experiences with those she meets before departing to other realities."
Espeon_Commander,Pokemon,Espeon,Crystal Lynn Hikari Tanzanaki,Apolla,F,91,N,N,,,,,,,,
Espeon_Commander,Pokemon,Charizard,Crystal Lynn Hikari Tanzanaki,Demon Wing,M,100,Y,N,,,,,,,,
Espeon_Commander,Pokemon,Sigilyph,Crystal Lynn Hikari Tanzanaki,Kairos,M,91,N,N,,,,,,,,
Espeon_Commander,Pokemon,Misdreavus,Crystal Lynn Hikari Tanzanaki,,F,91,N,N,,,,,,,,
Espeon_Commander,Pokemon,Bronzor,Crystal Lynn Hikari Tanzanaki,Donne,,91,N,N,,,,,,,,
Espeon_Commander,Pokemon,Cofagrigus,Crystal Lynn Hikari Tanzanaki,,M,100,N,N,,,,,,,,
Espeon_Commander,Pokemon,Litten,Crystal Lynn Hikari Tanzanaki,Cassidy,M,91,N,N,,,,,,,,
Espeon_Commander,Pokemon,Heliolisk,Crystal Lynn Hikari Tanzanaki,Hepa,F,91,N,N,,,,,,,,
Espeon_Commander,Pokemon,Chingling,Crystal Lynn Hikari Tanzanaki,,,91,N,N,,,,,,,,
Espeon_Commander,Pokemon,Arcanine,Crystal Lynn Hikari Tanzanaki,,M,91,N,N,,,,,,,,
Espeon_Commander,Character,"Alysandra ""Aile"" Wyndra",,,Female,,,,28,,,"5'4""",Human,"Lumiose City, Kalos","A 28-year-old woman from Lumiose City, Kalos, who goes by ""Aile.""",(Marked as WIP in the profile; no backstory written.)
Espeon_Commander,Pokemon,Zoroark,"Alysandra ""Aile"" Wyndra",Arkana,F,100,N,N,,,,,,,,
Espeon_Commander,Pokemon,Greninja,"Alysandra ""Aile"" Wyndra",Kayvaan,M,100,Y,N,,,,,,,,
Espeon_Commander,Pokemon,Flygon,"Alysandra ""Aile"" Wyndra",Tatooine/Tati,F,100,N,N,,,,,,,,
Espeon_Commander,Pokemon,Excadrill,"Alysandra ""Aile"" Wyndra",Eisley,M,100,N,N,,,,,,,,
Espeon_Commander,Pokemon,Nidoking,"Alysandra ""Aile"" Wyndra",Voort,,100,N,N,,,,,,,,
Espeon_Commander,Pokemon,Regirock,"Alysandra ""Aile"" Wyndra",Korriban,,91,N,N,,,,,,,,
Espeon_Commander,Pokemon,Palossand,"Alysandra ""Aile"" Wyndra",Sarlacc,F,100,N,N,,,,,,,,
Espeon_Commander,Pokemon,Rhydon,"Alysandra ""Aile"" Wyndra",Fett,M,100,N,Y,,,,,,,,
Espeon_Commander,Pokemon,Skarmory,"Alysandra ""Aile"" Wyndra",Revan,M,91,N,N,,,,,,,,
Espeon_Commander,Pokemon,Pyroar,"Alysandra ""Aile"" Wyndra",,M,100,N,N,,,,,,,,
Espeon_Commander,Pokemon,Golbat,"Alysandra ""Aile"" Wyndra",Risha,F,100,N,N,,,,,,,,
Espeon_Commander,Pokemon,Gible,"Alysandra ""Aile"" Wyndra",Rancor,M,91,Y,N,,,,,,,,
Espeon_Commander,Pokemon,Silicobra,"Alysandra ""Aile"" Wyndra",(blank),,91,N,N,,,,,,,,
Espeon_Commander,Pokemon,Sobble,"Alysandra ""Aile"" Wyndra",,M,91,N,N,,,,,,,,
Espeon_Commander,Pokemon,Steelix,"Alysandra ""Aile"" Wyndra",Kuat,M,91,N,N,,,,,,,,
Espeon_Commander,Pokemon,Ursaluna,"Alysandra ""Aile"" Wyndra",Dagobah/Dega,F,91,N,N,,,,,,,,
Espeon_Commander,Pokemon,Golem,"Alysandra ""Aile"" Wyndra",Dett,M,100,N,N,,,,,,,,
Espeon_Commander,Pokemon,Paldean Wooper,"Alysandra ""Aile"" Wyndra",Guss,M,91,N,N,,,,,,,,
Espeon_Commander,Pokemon,Nincada,"Alysandra ""Aile"" Wyndra",Poggle,M,91,N,N,,,,,,,,
Espeon_Commander,Pokemon,Orthworm,"Alysandra ""Aile"" Wyndra",,,91,N,N,,,,,,,,
Espeon_Commander,Pokemon,Sandy Shocks,"Alysandra ""Aile"" Wyndra",AT/Aye Tee,,91,N,N,,,,,,,,
Espeon_Commander,Pokemon,Bloodmoon Ursaluna,"Alysandra ""Aile"" Wyndra",Kaas,M,91,N,N,,,,,,,,
forkcity,Character,"Maximillian ""Max"" Fritz",,,Male (implied by pronoun use in profile; no gender field),,,,,,,"6'0""",Human,Mauville City,"A witty, easygoing electric-type specialist from Mauville City who left his quiet life behind to seek friends and adventure.","Max grew up near the power plant in Mauville City and gravitated toward electric-type Pokemon all his life, occasionally visiting his grandparents in Verdanturf Town while otherwise living a quiet, solitary life in a one-room house. After hearing recruitment stories about Team Cipher and Team Snagem, he donned his favorite coat and left his hometown to begin his journey in search of adventure and companionship. He travels with Cawber, a level-10 Murkrow. He avoids fights unless needed, is witty and quick, specializes in electric types, and fears dark caves and deserts."
forkcity,Pokemon,Murkrow,"Maximillian ""Max"" Fritz",,,10,N,N,,,,,,,,
Hauntedflames,Character,Jakob Hollway,,,,,,,17,,,,Human,Hoenn region (birthplace); currently lives in Kalos,"A 17-year-old orphan from Hoenn, now living in Kalos, whose Cubone died in a fire only to return to life as a strange black, blue-flamed Marowak.","Jakob and his sister Jesse lost their parents in a fire in the Hoenn region and moved to live with their uncle in Kalos. Jakob's Cubone perished in the same fire, but unexpectedly evolved into a Marowak and returned to life. This Marowak has unusual characteristics — dark, almost black skin and a bone weapon shrouded in blue flames — and Jakob seeks help understanding this unprecedented phenomenon, having never heard of such an occurrence before."
Hauntedflames,Pokemon,Marowak,Jakob Hollway,,,73,N,N,,,,,,,,
HauntMyCroissant,Character,Jean Beaumont,,,Male,,,,17,,,,Human (with possible channeler abilities),"Snowbelle City, Kalos","A 17-year-old foster runaway from Snowbelle City whose memory resets nightly after a childhood accident, accompanied by his service Absol, Ancil.","At age ten, while playing hide-and-seek with other foster children in the woods behind their home, Jean and the others hid in a cave occupied by a wild Beartic, which attacked and chased them; Jean, the slowest, was its main target, and an avalanche was triggered — his last clear memory. An Absol found him and dragged him to the hospital, where doctors discovered permanent brain damage causing permanent short-term memory loss: each night when he sleeps, his memory resets to the day before the accident. His foster parents returned him to the system, unable to manage his condition, and he bounced through unstable placements, some sincere and some exploitative. At seventeen he ran away from a particularly neglectful foster home, and after reaching a Pokemon Center with his service Absol Ancil, he overheard Snagem members and decided to join their organization, resonating with their ideals."
HauntMyCroissant,Pokemon,Absol,Jean Beaumont,Ancil,,5,N,N,,,,,,,,
Isaac Hawking,Character,Isaac Hawking,,,Male,,,,24,,,,Human,Goldenrod City,"A 24-year-old former repair-shop mechanic from Goldenrod City who joined Snagem after years of poverty, carrying his late father's oversized wrench and old motorcycle.",Isaac helped his father run a repair shop in Goldenrod City for many years until his father's death. He then lived in poverty for six years before leaving to join Snagem. He keeps an oversized wrench and an old motorcycle that belonged to his father.
Isaac Hawking,Pokemon,Magnemite,Isaac Hawking,Ferrus,,78,N,N,,,,,,,,
Isaac Hawking,Pokemon,Beldum,Isaac Hawking,Kardan,,78,N,N,,,,,,,,
Isaac Hawking,Pokemon,Noivern,Isaac Hawking,Konrad,,100,N,N,,,,,,,,
Isaac Hawking,Pokemon,Aron,Isaac Hawking,Angron,,78,N,N,,,,,,,,
Isaac Hawking,Pokemon,Porygon,Isaac Hawking,Magos,,78,N,N,,,,,,,,
Isaac Hawking,Pokemon,Clawitzer,Isaac Hawking,none listed,,100,N,N,,,,,,,,
Isaac Hawking,Pokemon,Mawile,Isaac Hawking,,,78,N,N,,,,,,,,
Isaac Hawking,Pokemon,Sneasel,Isaac Hawking,,,78,N,N,,,,,,,,
Isaac Hawking,Pokemon,Bulbasaur,Isaac Hawking,,,78,N,N,,,,,,,,
Jay Angel Of Darkness,Character,Katie,,,Female,,,,14,,,,Human,"Littleroot Town, Hoenn",A 14-year-old professor's daughter from Littleroot Town who left home to complete her Pokedex and train her Ralts.,"Katie grew up in Hoenn with her father, a Pokemon professor, after her mother died in an accident, spending most of her childhood in his laboratory playing with Pokemon. On her seventh birthday her father gave her a Pokemon from his lab, and thanks to his work she has extensive Pokemon knowledge and can befriend any species she meets. Her goal is to complete her Pokedex to 100%, and she recently left home to explore the world and train her Ralts. She is struggling to overcome a traumatic encounter with male thugs who abused her and forced her to do things against her will, and she wears a mysterious stone from her father's laboratory as a necklace, believing it lucky."
Jay Angel Of Darkness,Pokemon,Ralts,Katie,Crystal,F,15,Y,N,,,,,,,,
kanna2012,Character,Alexander,,,Male,,,,Nineteen (19),,January 11th,"5'7""",Crobat Hybrid,"A forest full of hard-to-find Pokemon, often hunted by poachers","A nineteen-year-old Crobat hybrid nicknamed ""Lil' bat"" who spent a decade living among forest Pokemon and deeply distrusts humans.","Alexander was born into a family of scientists with three elder sisters; when his parents' hybridization experiments killed their volunteer test subjects, they turned to their own children. His sisters died during experimentation, but nine-year-old Alexander survived the Crobat hybridization process, and after further experiments he escaped and collapsed in a forest, where Pokemon nursed him back to health. For ten years he lived among the forest Pokemon as their protector against poachers, growing to despise humans while understanding Pokemon communication well. A Zoroark hybrid named Nemi convinced him to join Team Snagem on the condition that they protect his forest home and Pokemon family. He is introverted and antisocial toward humans but accepting of other hybrids, enjoys sewing and crafting clothes, and fidgets around unfamiliar technology."
kanna2012,Pokemon,Zubat,Alexander,Nemi,F,5,N,N,,,,,,,,
kanna2012,Pokemon,Unhatched egg,Alexander,,,,N,N,,,,,,,,
KomradeKarina,Character,Clara Devict,,,Female,,,,,,,,Human,,"A scientifically minded researcher, freshly doctored from Galar University, drawn back to Snagem by a mysterious Yamask wearing her late brother's helmet.","Clara is a scientifically minded researcher who recently earned her doctorate from Galar University; during her studies she released all her Pokemon, a decision she has kept secret. While visiting the grave of her brother Kain one winter, an elderly woman appeared and spoke with her about her late brother's pride and strength, then gave Clara a Poke Ball containing a Yamask (Echo) wearing her brother's helmet. This compelled Clara to return to Snagem to seek answers and reconnect with the community."
KomradeKarina,Pokemon,Yamask,Clara Devict,Echo,M,6,N,N,,,,,,,,
Koukaze,Character,Giovanni Versechi,,,Male,,,,20,,,,Human,Olivine City,"A 20-year-old trainer from Olivine City, raised by Gym Leader Jasmine after Team Rocket killed his mother, now carrying a mysterious Snag Machine in Kalos.","Gio was born and raised in Olivine City; his mother was killed by Team Rocket while protecting her Pokemon, which were also lost in the attack. Gym Leader Jasmine took him in, raised him, and let him work at her gym, but when a strong trainer defeated the gym, Jasmine left on her own journey and Gio followed. Reaching Kalos, he chose to stay for the scenery, returned Jasmine's loaned Pokemon, and began his independent journey. In a secluded Kalos location he discovered a Snag Machine along with an Absol and an empty Poke Ball, plus a note addressed to him instructing him to catch a Cipher Pokemon; following the instructions, he obtained his Tyrogue and continues his mission."
Koukaze,Pokemon,Tyrogue,Giovanni Versechi,,,66,N,N,,,,,,,,
Local Imp,Character,"Kaitlyn ""Kate"" Frezzo",,,Female,,,,23,She/her,,,Hybrid (specific Pokemon type not stated),"Floaroma, Sinnoh","A 23-year-old hybrid from Floaroma Town in Sinnoh who, after losing both parents, drifted to Orre and joined Team Snagem.","Kate was an only child whose mother died when she was young, leaving her to be raised by her single father, nicknamed ""Zilla"" for his love of Croconaw-type Pokemon; their close bond gave her a sheltered, innocent outlook. Her father later died in a car accident on the way to Hearthome City. Kate relocated to Orre and became reclusive, occasionally returning to Sinnoh to catch and sell local Pokemon. On one such visit she learned of Snagem's revival, was drawn to the organization's darker aesthetic, and joined Team Snagem."
Local Imp,Pokemon,Roselia,"Kaitlyn ""Kate"" Frezzo","""Violet""",F,55,N,N,,,,,,,,
Local Imp,Pokemon,Shinx,"Kaitlyn ""Kate"" Frezzo","""Skye""",F,55,N,N,,,,,,,,
manglewren,Character,Amity June Keller,,,F (Female),,,,19,,"(exact date not stated; zodiac: Scorpio sun, Virgo moon, Libra rising)","5'7""",Human,Goldenrod City,"A freedom-loving 19-year-old drifter from Goldenrod City, nicknamed Keller, who travels alone with her Litwick, Flicker, favoring ghost, psychic, and dark types.","Amity grew up in a religious family on the poorer side of Goldenrod City, where her independent nature and love of dark-type Pokemon were treated as something dirty and bad. She frequently ran away, found her Litwick companion Flicker at age 13, and left home permanently a year later. Since then she has traveled alone with Flicker, taking odd jobs to afford food and cheap motels and moving through underground vagabond circles while avoiding lasting relationships. She recently joined Snagem, drawn to an organization fighting for beliefs she supports, though she maintains her independence. She is slow to anger, dislikes controlling people and being touched, enjoys spicy food and smoking, and is happiest in busy places where others ignore her; she is a lesbian, 115 lbs."
manglewren,Pokemon,Litwick,Amity June Keller,,,37,N,N,,,,,,,,
MoniqueBrie,Character,Monique Kaʻanaʻana,,,Female,,,,28,She/her,"March 23 (born 2046 in her home timeline; listed as ""1997"")","5'3"" (1.6 m)",Zoroark hybrid (formerly human),"New Po Town, Alola/U-369","A former sheriff from a post-apocalyptic Alolan biodome town, now a Zoroark hybrid and unwitting ""Faller"" displaced 49 years into the past.","Monique was originally a human sheriff in the post-apocalyptic biodome settlement of New Po Town (Alola/U-369). She mysteriously transformed into a Zoroark hybrid and was transported 49 years into the past, arriving on the slopes of Mt. Silver. She initially had no memory of earlier events involving a Flower City explosion until an encounter with the Ultra Beast Stakataka restored those memories. Having traveled through an Ultra Wormhole as an unwitting ""Faller,"" she draws the attention of Ultra Beasts, and she remains uncertain about controlling her Pokemon abilities, though she can occasionally project her human form via Illusion. She now works with Snagem while investigating her strange displacement."
MoniqueBrie,Pokemon,Alolan Marowak,Monique Kaʻanaʻana,Kalama,F,38,N,N,,,,,,,,
MoniqueBrie,Pokemon,Castform,Monique Kaʻanaʻana,Aopuaʻa,F,10,N,N,,,,,,,,
MoniqueBrie,Pokemon,Camerupt,Monique Kaʻanaʻana,Lua Pele,F,43,N,N,,,,,,,,
MoniqueBrie,Pokemon,Honchkrow,Monique Kaʻanaʻana,Noio,F,10,N,N,,,,,,,,
MoniqueBrie,Pokemon,Pansage,Monique Kaʻanaʻana,Weuweu,M,10,N,N,,,,,,,,
MoniqueBrie,Pokemon,Audino,Monique Kaʻanaʻana,Akala,F,10,N,N,,,,,,,,
MoniqueBrie,Pokemon,Crawdaunt,Monique Kaʻanaʻana,Moʻala,F,40,N,N,,,,,,,,
MoniqueBrie,Pokemon,Wyrdeer,Monique Kaʻanaʻana,Kia,F,10,N,N,,,,,,,,
MoniqueBrie,Pokemon,Alolan Raichu,Monique Kaʻanaʻana,Hālena,F,10,N,N,,,,,,,,
MoniqueBrie,Pokemon,Kleavor,Monique Kaʻanaʻana,Pahi,F,10,N,N,,,,,,,,
MoniqueBrie,Pokemon,Porygon2,Monique Kaʻanaʻana,Lolo,,10,N,N,,,,,,,,
MoniqueBrie,Pokemon,Orthworm,Monique Kaʻanaʻana,Hao,M,10,Y,N,,,,,,,,
MoniqueBrie,Pokemon,Toxicroak,Monique Kaʻanaʻana,Poloka,F,47,N,N,,,,,,,,
MoniqueBrie,Pokemon,Lycanroc,Monique Kaʻanaʻana,ʻOi,F,35,N,N,,,,,,,,
MoniqueBrie,Pokemon,Primarina,Monique Kaʻanaʻana,Aniani,F,44,N,N,,,,,,,,
MoniqueBrie,Pokemon,Alcremie,Monique Kaʻanaʻana,Kalima,F,10,N,N,,,,,,,,
MoniqueBrie,Pokemon,Malamar,Monique Kaʻanaʻana,Mūheʻe,F,40,N,N,,,,,,,,
